Symbol;Interval;S.Pos;LOT(s);Open Time;Open Price;Close Time;Close Price;PIP P/L;Tot. $ P/L;Harvester ID;OpenDeals#;Closed by
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.11.01 05:00;133.0700;2013.11.01 06:47;132.6700;40;408.4000;63(120);6;Close all Deals(2)
EURJPY;34;Short;34;2013.10.31 16:29;133.8400;2013.11.01 03:20;133.1100;73;2524.1940;63(119) TR;6;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.31 23:30;133.5900;2013.11.01 03:20;133.1100;48;488.1600;64(61);7;Close all Deals(2) - Global
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.23 13:05;133.8400;2013.11.01 03:20;133.1100;73;742.4100;63(119);6;Close all Deals(2) - Global
EURJPY;21;Long;21;2013.10.28 00:00;134.8400;2013.11.01 03:20;133.1100;-173;-3694.7610;63(119) TR;6;Close all Deals(2) - Global
EURJPY;Rgs.70;Short;Rgs.70;2013.10.31 12:15;134.2300;2013.11.01 02:54;133.2700;96;6928.9152;59(86) TR;2;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.22 21:00;135.2300;2013.11.01 02:54;133.2700;-196;-1995.2800;59(86);2;All related deals after TR
EURJPY;21;Short;21;2013.10.23 07:07;134.2300;2013.11.01 02:54;133.2700;96;2052.2880;59(86) TR;2;All related deals after TR
EURJPY;34;Long;34;2013.10.30 10:59;135.2300;2013.11.01 02:54;133.2700;-196;-6783.9520;59(86) TR;2;All related deals after TR
EURJPY;34;Long;34;2013.10.30 11:06;135.2400;2013.11.01 02:53;133.2900;-195;-6742.7100;58(166) TR;1;All related deals after TR
EURJPY;Rgs.70;Short;Rgs.70;2013.10.31 12:15;134.2400;2013.11.01 02:53;133.2900;95;6850.0035;58(166) TR;1;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.22 20:40;135.2400;2013.11.01 02:53;133.2900;-195;-1983.1500;58(166);1;All related deals after TR
EURJPY;21;Short;21;2013.10.23 07:07;134.2400;2013.11.01 02:53;133.2900;95;2028.9150;58(166) TR;1;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.30 16:00;135.2300;2013.11.01 02:53;133.2900;-194;-1972.9800;60(55);3;All related deals after TR
EURJPY;21;Short;21;2013.10.31 12:15;134.2300;2013.11.01 02:53;133.2900;94;2007.5580;60(55) TR;3;All related deals after TR
EURJPY;10/5 {T 105/35/2/1} [--/25];Short;10;2013.10.31 21:15;133.6400;2013.10.31 23:15;133.6200;2;20.3200;64(60);7;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.24 20:01;134.4500;2013.10.31 12:00;134.4800;3;30.5100;62(14);5;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.30 09:00;134.9700;2013.10.31 03:00;135.1800;21;213.1500;61(38);4;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.30 08:30;135.0000;2013.10.30 15:30;135.0800;8;81.4400;60(54);3;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.28 20:00;134.7500;2013.10.30 06:00;134.8400;9;91.6200;61(37);4;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.28 19:00;134.7500;2013.10.30 02:00;134.9300;18;183.2400;60(53);3;Close All Deals command
EURJPY;10/5 {T 105/35/2/1} [--/25];Long;10;2013.10.22 11:55;134.4900;2013.10.22 13:40;134.5000;1;10.1600;58(164);1;Close All Deals command
